1,2022-12-12,14,1,4
2,2021-11-02,2,21,3
3,2024-03-23,24,46,1
4,2023-12-03,9,2,4
5,2023-07-27,22,36,5
6,2023-03-05,47,27,1
7,2023-08-10,7,38,2
8,2023-11-13,18,34,2
9,2022-08-13,5,45,2
10,2021-02-20,24,30,4
11,2024-02-21,9,14,5
12,2021-02-09,42,48,3
13,2023-11-03,37,2,3
14,2022-05-19,30,14,5
15,2021-08-23,4,21,2
16,2021-01-21,11,17,2
17,2022-09-23,20,39,2
18,2022-10-17,34,32,5
19,2024-05-01,25,50,2
20,2024-03-22,22,11,4
21,2023-07-11,3,8,3
22,2022-05-24,36,12,5
23,2020-11-18,14,25,3
24,2024-07-12,25,17,3
25,2022-06-01,26,48,2
26,2024-09-12,31,23,5
27,2020-08-15,12,34,4
28,2024-04-07,32,4,5
29,2024-11-27,18,21,5
30,2021-09-22,23,50,5
31,2021-04-18,44,19,1
32,2022-03-05,42,20,5
33,2020-09-18,10,2,1
34,2022-01-20,18,6,4
35,2022-10-06,13,37,3
36,2020-09-16,36,6,1
37,2023-06-05,14,15,5
38,2024-02-04,17,31,1
39,2023-01-29,39,31,3
40,2024-01-11,34,44,4
41,2024-06-05,18,33,3
42,2022-11-15,34,28,4
43,2023-11-11,17,9,1
44,2024-05-27,39,48,1
45,2024-01-18,10,47,5
46,2021-07-05,31,40,2
47,2021-07-03,14,39,1
48,2023-03-18,14,9,1
49,2024-08-17,26,11,2
50,2021-04-02,3,26,5
51,2024-02-10,16,43,5
52,2021-11-05,2,9,5
53,2023-04-03,39,18,2
54,2020-10-25,40,20,4
55,2022-09-04,43,35,1
56,2024-12-29,48,41,3
57,2024-12-25,2,39,1
58,2020-11-17,36,29,1
59,2022-12-13,25,3,5
60,2022-09-16,2,13,1
61,2022-01-19,27,45,1
62,2023-04-01,37,15,2
63,2023-08-11,14,47,5
64,2022-01-29,47,21,4
65,2020-05-05,17,25,1
66,2023-05-11,40,50,4
67,2024-05-03,44,50,1
68,2020-10-29,37,29,4
69,2023-06-18,26,33,1
70,2020-06-12,20,44,2
71,2021-06-07,24,27,3
72,2023-04-10,11,17,4
73,2021-07-12,30,32,2
74,2024-02-22,18,21,1
75,2021-09-12,27,36,5
76,2022-02-15,18,33,3
77,2024-01-22,2,40,4
78,2022-11-16,12,21,2
79,2021-03-25,27,6,2
80,2023-08-29,47,49,2
81,2023-10-14,35,25,3
82,2022-07-06,23,5,4
83,2020-07-25,31,34,4
84,2022-08-24,4,27,2
85,2021-03-02,43,16,4
86,2023-11-16,27,48,3
87,2021-11-26,29,44,2
88,2023-10-13,23,18,1
89,2021-08-07,26,48,1
90,2022-08-13,38,13,2
91,2023-10-26,31,25,1
92,2023-03-12,50,7,4
93,2024-05-26,36,27,1
94,2022-10-30,23,15,5
95,2024-05-09,13,21,3
96,2020-12-10,4,50,3
97,2022-01-24,13,39,5
98,2024-11-27,9,20,3
99,2024-11-15,34,27,2
100,2020-09-07,34,32,1
101,2024-04-14,1,29,3
102,2020-10-23,9,25,5
103,2023-07-19,50,37,5
104,2024-02-18,11,19,5
105,2023-06-29,14,4,1
106,2020-01-09,14,16,1
107,2024-05-21,20,36,5
108,2020-01-28,8,46,1
109,2024-02-02,48,34,4
110,2023-11-12,43,22,4
111,2024-02-02,26,23,2
112,2021-02-27,2,49,3
113,2022-12-18,42,47,2
114,2024-10-14,8,35,5
115,2023-09-01,9,50,5
116,2021-03-27,23,27,1
117,2021-10-15,23,11,1
118,2021-12-18,40,25,1
119,2024-05-17,24,32,3
120,2022-05-02,39,34,1
121,2020-06-15,43,45,2
122,2022-07-16,41,19,4
123,2022-10-06,49,5,2
124,2022-10-06,7,9,5
125,2024-05-23,44,14,3
126,2024-08-03,48,39,5
127,2024-06-24,32,28,5
128,2022-02-20,2,14,1
129,2020-01-26,11,6,5
130,2022-06-17,22,14,5
131,2024-11-15,4,7,2
132,2021-12-03,12,5,3
133,2020-02-25,48,35,4
134,2022-04-16,22,24,3
135,2023-11-21,7,44,5
136,2021-11-26,7,40,5
137,2024-04-26,14,44,5
138,2022-10-05,30,28,2
139,2021-03-16,34,47,1
140,2021-03-02,34,27,3
141,2023-08-20,4,21,4
142,2020-08-20,16,38,5
143,2021-06-03,28,23,1
144,2024-08-14,36,21,3
145,2021-07-04,46,3,1
146,2020-08-08,26,46,2
147,2023-05-26,13,24,5
148,2024-12-21,2,3,5
149,2020-04-09,36,12,2
150,2024-05-10,12,4,1
151,2024-04-12,33,41,3
152,2020-07-16,16,11,1
153,2024-12-18,8,40,4
154,2020-10-08,49,35,4
155,2023-02-26,15,47,1
156,2024-02-25,16,1,1
157,2023-02-04,40,49,4
158,2023-12-18,19,36,5
