1,15006,740,21
2,2348,199,19
3,16722,724,22
4,3562,198,19
5,35,703,16
6,2833,315,83
7,1420,22,38
8,19398,85,11
9,1152,494,23
10,5419,553,35
11,16198,221,66
12,19619,602,48
13,502,494,2
14,11076,785,90
15,913,216,81
16,383,712,38
17,1057,609,13
18,8125,565,35
19,6918,811,17
20,4150,689,2
21,11685,453,87
22,14883,851,78
23,4103,128,33
24,3030,434,60
25,13059,347,9
26,19267,168,87
27,15971,689,57
28,976,146,86
29,16653,78,69
30,14446,715,55
31,18384,471,20
32,1491,684,2
33,9601,676,82
34,2284,562,60
35,19465,459,42
36,6949,621,45
37,13943,515,32
38,146,798,16
39,7966,147,41
40,2883,584,5
41,14207,972,63
42,1114,357,48
43,17251,661,8
44,5670,367,2
45,18591,667,16
46,13199,875,75
47,4295,163,24
48,19671,102,19
49,8981,963,51
50,931,221,75
51,11166,939,3
52,7438,972,88
53,17540,591,90
54,13290,132,28
55,11078,92,43
56,6071,574,84
57,2115,23,65
58,147,473,48
59,13074,648,74
60,18871,481,46
61,2496,280,33
62,2721,796,50
63,8133,437,14
64,2261,815,63
65,18984,156,37
66,5287,921,83
67,9472,220,55
68,17343,29,56
69,263,315,87
70,7704,635,10
71,13818,914,3
72,18445,507,7
73,5022,881,7
74,6189,537,22
75,14595,159,4
76,18420,990,3
77,10018,6,15
78,16682,439,24
79,19240,175,68
80,11708,429,11
81,6849,139,1
82,6250,945,65
83,6430,163,5
84,11549,396,27
85,17847,846,85
86,19116,849,43
87,5195,721,5
88,1866,792,57
89,4962,267,18
90,4564,996,28
91,16570,45,44
92,5977,486,68
93,11201,243,6
94,3310,237,90
95,8420,663,40
96,17282,907,18
97,9528,721,61
98,18669,861,61
99,16367,82,72
100,7303,67,6
101,15548,359,1
102,18221,74,60
103,5092,445,85
104,4089,73,40
105,5361,527,22
106,2981,442,25
107,19234,599,38
108,11141,699,72
109,11901,82,70
110,11022,198,33
111,14119,540,87
112,1460,513,7
113,10413,168,64
114,14646,170,13
115,17933,182,1
116,1243,651,15
117,11552,358,26
118,13998,704,75
119,8948,57,14
120,11472,226,24
121,12228,28,65
122,3414,155,56
123,12455,39,14
124,4252,251,33
125,5262,536,22
126,19233,364,88
127,10430,194,34
128,18820,343,54
129,6796,108,57
130,17119,950,74
131,165,630,87
132,18272,274,33
133,6536,805,2
134,8076,817,31
135,14267,228,60
136,12585,632,37
137,17136,281,46
138,10879,230,1
139,15141,972,39
140,3553,272,80
141,15285,779,14
142,29,133,21
143,12471,654,9
144,3690,494,38
145,635,518,54
146,3623,256,88
147,2006,303,83
148,3757,534,42
149,4177,876,62
150,14604,490,85
151,4579,509,59
152,1223,858,9
153,16184,786,30
154,14596,516,74
155,10366,341,56
156,14036,26,49
157,18727,417,40
158,14951,420,64
159,5632,403,11
160,7371,431,1
161,8881,88,65
162,4898,382,43
163,5890,689,7
164,1549,572,1
165,13357,103,39
166,964,513,4
167,1623,591,81
168,8691,270,21
169,11305,204,67
170,8673,662,35
171,5331,660,88
172,1818,862,29
173,4873,321,54
174,18498,961,22
175,8537,509,11
176,10837,410,56
177,9488,94,53
178,18654,423,10
179,1236,649,86
180,17470,820,5
181,6801,418,5
182,4023,103,8
183,13011,896,40
184,6975,811,2
185,6654,358,3
186,17520,251,39
187,6378,851,66
188,8581,304,28
189,2833,668,12
190,19465,483,82
191,17219,30,72
192,10200,852,1
193,16319,837,16
194,10240,592,75
195,19276,336,23
196,9052,821,61
197,16893,897,51
198,9715,268,59
199,2628,34,47
200,13490,394,81
201,4358,878,71
202,13942,548,82
203,17076,467,21
204,2814,656,22
205,2938,662,85
206,13940,26,34
207,14878,665,84
208,8613,650,73
209,12197,514,19
210,4410,319,61
211,1939,910,87
212,12926,541,2
213,15478,782,37
214,11372,943,36
215,14464,831,35
216,18052,918,68
217,15433,999,6
218,5202,71,30
219,1274,198,11
220,14591,978,75
221,10253,171,60
222,12725,218,46
223,10294,655,45
224,2080,100,27
225,5332,170,84
226,4861,922,56
227,17021,269,33
228,18610,385,69
229,15614,415,62
230,7150,384,77
231,7507,561,34
232,8154,890,30
233,17259,827,59
234,17496,539,73
235,4413,281,62
236,13052,192,70
237,7017,396,85
238,888,977,55
239,2717,662,17
240,4218,929,20
241,3469,616,86
242,1767,874,90
243,5393,584,26
244,4006,81,72
245,19375,436,74
246,8912,6,3
247,2599,90,54
248,18999,529,72
249,16083,532,70
250,19552,255,51
251,12419,243,22
252,12968,402,5
253,11441,583,49
254,10123,688,38
255,11384,970,7
256,1463,835,28
257,6019,283,58
258,5548,383,46
259,14824,154,90
260,13413,899,53
261,15167,391,38
262,12315,570,7
263,16618,523,45
264,9049,160,12
265,18207,576,46
266,3054,23,15
267,12290,1000,90
268,8956,543,45
269,16134,181,3
270,7806,927,58
271,11799,628,83
272,583,360,39
273,8272,112,70
274,10020,288,12
275,2677,124,73
276,3974,212,14
277,5432,484,38
278,9268,981,66
279,8531,610,43
280,6932,145,25
281,13826,637,6
282,8159,360,54
283,13177,215,46
284,3917,273,64
285,9636,946,31
286,1743,395,42
287,4225,7,46
288,7586,337,34
289,3726,589,1
290,9087,291,76
291,19157,387,41
292,3382,793,32
293,3100,490,53
294,19413,900,57
295,16314,748,23
296,14557,319,73
297,1306,576,8
298,11131,848,87
299,12634,576,22
300,5377,352,24
301,1460,208,74
302,5826,100,24
303,115,996,69
304,14866,561,84
305,13728,826,51
306,13696,807,4
307,16300,920,17
308,12915,659,84
309,7810,408,7
310,14915,587,90
311,17952,465,9
312,701,547,63
313,11229,557,36
314,16616,6,85
315,1344,947,16
316,18936,61,11
317,17438,358,46
318,5336,263,26
319,11305,554,12
320,6391,959,2
321,2044,187,55
322,16656,870,42
323,14177,960,61
324,230,948,11
325,4713,276,46
326,13584,306,76
327,5551,524,81
328,5709,825,26
329,13399,1,49
330,13450,787,74
331,7725,697,84
332,19637,982,84
333,6838,631,16
334,10449,202,27
335,15188,673,6
336,19848,259,32
337,10564,33,33
338,10861,430,45
339,3738,84,12
340,17088,226,51
341,17956,857,41
342,8859,203,66
343,18255,158,31
344,13630,293,17
345,9618,668,80
346,1874,639,17
347,4345,109,83
348,13187,257,28
349,12013,297,83
